period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2012;01;net_wgt;102494506318.804;83735063453.329;0.08993021487495176;0.19381436339374186;2.904156638631483;2.444526068867883
2013;01;net_wgt;116573995936.45601;101889077583.604;0.08889123876028292;0.18865480128786102;2.993233586438975;2.4593184247367166
2014;01;net_wgt;104327995640.948;104204579248.668;0.09094546237333913;0.22297474290402663;3.059641915591581;2.332636992957087
2015;01;net_wgt;94098130860.022;94447370943.402;0.07925931255725173;0.1960776329624301;3.107039345605663;2.440365543289655
2016;01;net_wgt;106127748141.688;102348578848.91;0.08874697736454748;0.21587340321515092;2.9632324516515114;2.3522344590311794
2017;01;net_wgt;93828467189.20801;100349474492.783;0.10478463915583171;0.24545123093822627;2.964502560167431;2.2289595330781933
2018;01;net_wgt;95154655867.401;110153590683.094;0.09477128031747534;0.24064721975768438;2.9803073905263515;2.260042170355699
2019;01;net_wgt;110457424052.386;107487328303.032;0.09186902947792557;0.23567317342290067;2.940861059519032;2.3129423444744583
2020;01;net_wgt;111253879646.894;108629102577.17;0.09364413058124751;0.22242160067192862;2.8860286345861583;2.3586426302883243
2021;01;net_wgt;108356165834.794;128090611826.066;0.08436393745005592;0.19436710732994647;2.9598468037576433;2.4512317190048365
2022;01;net_wgt;87113839478.709;94495664076.543;0.0721716718092645;0.17283634162184056;3.123517352924304;2.5860091550942883
2023;01;net_wgt;71133098527.91;80459046690.321;0.08461518811754207;0.18112196943268197;3.0470447697432266;2.52173942693896
1996;05;net_wgt;64538924149.0;62602603866.0;0.24174049304665582;0.20106380435956248;2.3131712155709545;2.5064993806855793
1997;05;net_wgt;65777089640.0;67818670207.0;0.2193092985644596;0.17358732729300674;2.4042828640410567;2.668360088073177
1998;05;net_wgt;66481338455.0;67271992175.0;0.212653832878309;0.18372840420143846;2.4610612680452006;2.6601520361659943
1999;05;net_wgt;159274341533.0;70014898658.0;0.3462810838075366;0.18221910853677425;1.807538304940193;2.635257032752238
2000;05;net_wgt;36555641896.787;29650156687.502;0.07723280831617133;0.08435655440907888;3.0048726013873583;3.0485130405450045
2001;05;net_wgt;36210597233.792;29168966107.463;0.07598674271112599;0.07767046495157406;3.0272637281217025;3.1464347637475045
2002;05;net_wgt;39292079541.556;29633079533.78;0.07454706752788416;0.0793170925983372;3.0522185791202405;3.140810412062318
2003;05;net_wgt;42727135785.978;30662391909.902;0.07327817989555531;0.07709014280149044;3.0600001991301644;3.1560947858406427
2004;05;net_wgt;45959903515.788;35172385554.514;0.07471897024148418;0.06388055363651543;3.069765179455734;3.311537320417692
2005;05;net_wgt;47686798245.569;40351252103.055;0.08252953238549592;0.06643408706178465;3.0274964587646718;3.3061993428758667
2006;05;net_wgt;47659880856.207;30617218136.391;0.09316114852269713;0.06747611330110084;2.9288457186257144;3.3392306923680803
2007;05;net_wgt;70242724528.774;59581048104.49;0.09732316477783033;0.07435243660523118;2.9774631302834376;3.3626885432041855
2008;05;net_wgt;59331087194.489;50347695217.282;0.07882580973552701;0.052243602728538265;3.112837563276015;3.56264917727697
2009;05;net_wgt;51585684106.623;39552245817.865;0.08242264106739668;0.04658230620576693;3.069318791818053;3.5809795752407445
2010;05;net_wgt;60843338551.31;55874399236.716;0.0869841018566721;0.06880085639874547;3.0507748547688047;3.353291369538524
2011;05;net_wgt;66932227490.093;61202638718.414;0.08559225793311757;0.08327647513810255;3.0520840537739695;3.249417614136861
2012;05;net_wgt;62615063716.068;58966698150.047;0.10574369115774127;0.08474776940985644;2.8936512411747106;3.2306951109897413
2013;05;net_wgt;74105677432.166;65024480815.198;0.1039355578984861;0.09684571696193066;2.94239718143484;3.157709663294909
2014;05;net_wgt;80835153723.894;74276752343.682;0.09193060577640662;0.09712846491740969;3.0418066454792503;3.089490164676808
2015;05;net_wgt;65296285589.601;69193896233.249;0.08141416633174431;0.09445836995714003;3.1579809972262134;3.22720270200109
2016;05;net_wgt;69770708032.055;70232369652.863;0.08849897397624087;0.08356399621557543;3.1137416110866654;3.266948470224033
2017;05;net_wgt;71417888551.229;64720302198.003;0.09888327976078662;0.16825327538850787;3.022851320748054;2.85299530370832
2018;05;net_wgt;90170042274.309;66982359441.770996;0.09941200162702003;0.1519992113282959;2.9445895073166417;2.9850678630832546
2019;05;net_wgt;92313561093.07599;79902930209.119;0.09146719076941422;0.12693972147681787;3.021418723263862;2.983743395912873
2020;05;net_wgt;89080869600.062;80263857296.203;0.09456943265540355;0.12314649179029144;2.9953034331045245;2.992164478065242
2021;05;net_wgt;94999347510.201;86316334720.134;0.10067701782236793;0.1114285938970423;2.9714959917870147;3.055258363195366
2022;05;net_wgt;66912535269.443;73567675823.836;0.08630734141287097;0.1104406648741514;3.09007427061651;3.0724223752814854
2023;05;net_wgt;59053562832.161;63568789993.225;0.07578869810497223;0.11863779917338041;3.1261672955581514;3.038597199599233
1996;07;net_wgt;18584033704.0;20171164311.0;0.0988268430584788;0.07149580710209094;2.983461512263299;3.1082219214015216
1997;07;net_wgt;19849604308.0;20757475666.0;0.08634719516434942;0.06560551119853447;3.043552139830088;3.2522958111843883
1998;07;net_wgt;20600401517.0;18898563387.0;0.0851814903505868;0.08429381983234763;3.070402519280696;3.1693045091659617
1999;07;net_wgt;21282100990.0;20105766119.0;0.07644745452004381;0.08494965981436015;3.115198753077583;3.18155639276341
2000;07;net_wgt;25922631832.134;28117247268.099;0.05943273267144437;0.07308079353298516;3.3157345388543726;3.325080244438341
2001;07;net_wgt;27018311812.459;29435277514.052;0.06042451392981905;0.07171853219552206;3.294904956589264;3.3706615635451103
2002;07;net_wgt;32825018107.269;33338982977.551;0.052381034879921406;0.08182815638146713;3.3757270706206084;3.31491049355248
2003;07;net_wgt;38167701068.825;36673012507.146;0.07292238947319783;0.0836191020908415;3.2059197985624075;3.349116509114212
2004;07;net_wgt;45563808952.471;44763695588.139;0.06533490581135787;0.08550269674953685;3.27541955534488;3.319566812387454
2005;07;net_wgt;47736946020.249;44256564756.709;0.062036610803911256;0.08638636656476224;3.2825632808454035;3.4217985461385485
2006;07;net_wgt;49651465223.778;46263692577.108;0.056278755060739254;0.0767298325148068;3.309937299323254;3.5043744759127193
2007;07;net_wgt;27655104261.773;29016449413.099;0.06420951594642306;0.05261635007221465;3.19837792271547;3.4377276792273004
2008;07;net_wgt;38755394642.221;38272300563.543;0.06092377654555444;0.04391297898316768;3.2596127593108233;3.6593964081313817
2009;07;net_wgt;32897385206.2;44835773511.367;0.05465089338624158;0.14863666642937684;3.3194299982213793;3.0540809363544277
2010;07;net_wgt;39942075585.233;37601530313.829;0.057186098346000164;0.03986926002832219;3.3115019709211486;3.78137394688871
2011;07;net_wgt;41682377480.494;39724666142.687;0.06310190355164991;0.03881839950118494;3.293027027785371;3.8095590026575987
2012;07;net_wgt;44074197996.886;40846369611.288;0.0631269463331631;0.03930561634970538;3.2992495537602338;3.7991166804085497
2013;07;net_wgt;46391369403.447;42825376995.873;0.06077280536348365;0.038960677495295803;3.303770775593663;3.8565992255882158
2014;07;net_wgt;49443303206.605;52508794341.912;0.05997553295117382;0.0680575677729561;3.3181506824558924;3.5673504012574946
2015;07;net_wgt;46408967828.949;47427797124.51;0.059817137410921185;0.0451777820382513;3.331819102854913;3.7793499215382735
2016;07;net_wgt;48420800295.358;50419228980.752;0.056662290220046575;0.04967651228366548;3.3364607373280157;3.748868407417388
2017;07;net_wgt;56590102465.69;52869951201.145004;0.05523430555513177;0.03966596363761823;3.351128076599867;3.8648081686033056
2018;07;net_wgt;113844809082.24101;56153517707.046;0.2596104058749512;0.03985992806158763;2.3754220394164887;3.893557731579239
2019;07;net_wgt;62223868741.347;69901225376.382;0.05075344445393099;0.07560215736680272;3.3672945778784347;3.5493287509109863
2020;07;net_wgt;59554690462.014;57744903293.322;0.04766950509242525;0.04222603505638912;3.418257937633246;3.8381138492124136
2021;07;net_wgt;66424447491.201996;102431826038.18199;0.05145036878117493;0.13470641759942018;3.4151435841880855;3.141680712918101
2022;07;net_wgt;56162788503.456;58984912271.56;0.051794136923543066;0.0483331765091455;3.4263538834348726;3.7994487800143166
2023;07;net_wgt;51547670264.237;53758329859.081;0.059712749823211946;0.0494288305115714;3.326237994716317;3.7289416529945623
