period;cmd;country;nb_edges;nb_edges_country;traded_value_exp;traded_value_imp;traded_value_exp_country;traded_value_imp_country;contrib_nb_edges;contrib_trade_value_exp;contrib_trade_value_imp
1996;12;Hungary;1739;34;6032543317.0;10214764336.0;66343446.0;73295140.0;0.019551466359977;0.010997591316591287;0.007175411746082597
1996;12;Iceland;1739;11;6032543317.0;10214764336.0;287275.0;231802.0;0.0063254744105807935;0.00004762087645362531;0.00002269283875527679
1996;12;India;1739;61;6032543317.0;10214764336.0;48102104.0;246246221.0;0.035077630822311676;0.007973768520558474;0.024106892033930915
1996;12;Indonesia;1739;40;6032543317.0;10214764336.0;27350710.0;73797639.0;0.023001725129384705;0.004533860523292783;0.00722460514726847
1996;12;Iran;1739;3;6032543317.0;10214764336.0;368227.0;71484.0;0.0017251293847038527;0.00006104009215521395;6.998105648709701e-6
1996;12;Ireland;1739;28;6032543317.0;10214764336.0;22844719.0;29907118.0;0.016101207590569294;0.0037869133795728365;0.002927832401830166
1996;12;Israel;1739;14;6032543317.0;10214764336.0;2078672.0;25212381.0;0.008050603795284647;0.000344576390217075;0.0024682293365441378
1996;12;Italy;1739;98;6032543317.0;10214764336.0;396779219.0;614228511.0;0.05635422656699252;0.06577312389649269;0.06013144217485939
1996;12;Jamaica;1739;4;6032543317.0;10214764336.0;468474.0;691140.0;0.0023001725129384704;0.00007765779297097089;0.00006766088548555233
1996;12;Japan;1739;73;6032543317.0;10214764336.0;2640105810.0;4429143366.0;0.041978148361127086;0.4376439042816408;0.4336021096825821
1996;12;Jordan;1739;3;6032543317.0;10214764336.0;2172167.0;0.0;0.0017251293847038527;0.0003600748284523259;0.0
1996;12;Kazakhstan;1739;5;6032543317.0;10214764336.0;5161559.0;18776.0;0.002875215641173088;0.0008556190529878958;1.8381236592828234e-6
1996;12;Kenya;1739;2;6032543317.0;10214764336.0;0.0;25438.0;0.0011500862564692352;0.0;2.49031687499129e-6
1996;12;Kiribati;1739;4;6032543317.0;10214764336.0;5933.0;31102.0;0.0023001725129384704;9.834989469997701e-7;3.0448083751072844e-6
1996;12;Kuwait;1739;7;6032543317.0;10214764336.0;233987.0;30867.0;0.0040253018976423235;0.00003878745459491576;3.021802460113065e-6
1996;12;Kyrgyzstan;1739;2;6032543317.0;10214764336.0;255269.0;0.0;0.0011500862564692352;0.00004231531985533192;0.0
1996;12;Lao People's Dem. Rep.;1739;5;6032543317.0;10214764336.0;0.0;20152528.0;0.002875215641173088;0.0;0.001972882323772878
1996;12;Latvia;1739;29;6032543317.0;10214764336.0;51819957.0;105215324.0;0.01667625071880391;0.008590067949279178;0.01030031829801384
1996;12;Lebanon;1739;6;6032543317.0;10214764336.0;595290.0;764900.0;0.0034502587694077054;0.0000986797721489117;0.00007488180586841881
1996;12;Liberia;1739;6;6032543317.0;10214764336.0;0.0;4945491.0;0.0034502587694077054;0.0;0.00048415125766245576
1996;12;Libya;1739;4;6032543317.0;10214764336.0;1661231.0;0.0;0.0023001725129384704;0.0002753782132518751;0.0
1996;12;Lithuania;1739;31;6032543317.0;10214764336.0;23634622.0;32673238.0;0.017826336975273145;0.003917853674319501;0.0031986286638889328
1996;12;Madagascar;1739;11;6032543317.0;10214764336.0;31265.0;1391074.0;0.0063254744105807935;5.182722834644836e-6;0.00013618268167944154
1996;12;Malawi;1739;2;6032543317.0;10214764336.0;6428.0;2041.0;0.0011500862564692352;1.0655538903277467e-6;1.9980881916256086e-7
1996;12;Malaysia;1739;50;6032543317.0;10214764336.0;351997939.0;1175126204.0;0.02875215641173088;0.058349840275170956;0.1150419300285265
1996;12;Maldives;1739;1;6032543317.0;10214764336.0;0.0;873.0;0.0005750431282346176;0.0;8.546452676575974e-8
1996;12;Mali;1739;2;6032543317.0;10214764336.0;0.0;164574.0;0.0011500862564692352;0.0;0.000016111384911738996
1996;12;Malta;1739;26;6032543317.0;10214764336.0;87402.0;4552886.0;0.014951121334100058;0.000014488416478286516;0.00044571620550796424
1996;12;Mauritania;1739;1;6032543317.0;10214764336.0;2391.0;0.0;0.0005750431282346176;3.963502414084696e-7;0.0
