period;cmd;nb_edge_exp;nb_edge_imp;mean_exp;mean_imp;var_exp;var_imp;skew_exp;skew_imp;kurt_exp;kurt_imp
2011;05;5108;5108;28.065934065934066;22.803571428571427;963.676971380268;565.8185586734693;1.282396004337028;1.3343448027235394;1.130948545138848;1.1059754975515963
2012;05;5116;5116;27.50537634408602;22.63716814159292;981.7553474390103;548.4966716265957;1.322528423958148;1.3241469935542898;1.191213060545441;1.0374466921111685
2013;05;5106;5106;28.209944751381215;22.394736842105264;1026.7515033118646;512.659972299169;1.3167318210439856;1.2457918617547548;1.092746664954002;0.792038073089929
2014;05;5010;5010;26.93548387096774;22.168141592920353;979.2323968088796;514.6531443339338;1.352290273575444;1.2919551582690207;1.1846496718010782;0.9527941652955487
2015;05;5135;5135;27.607526881720432;22.822222222222223;1035.6040293675571;534.7061728395062;1.3198142284799412;1.258177785720696;1.0177256171294156;0.8420809777214933
2016;05;5122;5122;27.1005291005291;22.56387665198238;1052.333809243862;524.1225717557103;1.3787303564471807;1.2465470038685964;1.1446765539390178;0.8466580161122947
2017;05;5026;5026;28.3954802259887;22.140969162995596;1039.3916179897221;518.2532554483884;1.1956971211279406;1.279043877887532;0.47318253955969336;1.0315408029422963
2018;05;5095;5095;27.690217391304348;22.444933920704845;1092.8116434310018;511.20732014981866;1.2795909687412936;1.2338899017979463;0.6721096022616888;0.8197776094034697
2019;05;5140;5140;27.340425531914892;22.743362831858406;1085.7458125848802;511.15537630198133;1.3242575398918737;1.273921732869636;0.88692798160112;0.9441257775656213
2020;05;4860;4860;27.93103448275862;21.31578947368421;1040.6504161712248;481.27746999076646;1.2944035020423712;1.3075885434312824;0.9042093894034542;0.987322689809198
2021;05;5050;5050;28.055555555555557;22.444444444444443;1061.708024691358;517.926913580247;1.2598672618648583;1.2760923323633022;0.6636482674846564;0.8762475860507442
2022;05;5025;5025;27.916666666666668;22.433035714285715;1016.709722222222;541.5848014987245;1.2325069597135827;1.336182651664618;0.7178793578401526;1.036845122495171
2023;05;4843;4843;27.833333333333332;21.524444444444445;988.9664750957855;497.0494024691358;1.2327305492652618;1.2780060098321462;0.7669982597652192;0.7782720817764801
1996;07;3562;3562;22.124223602484474;17.04306220095694;892.158481540064;232.26130354158556;1.708521423703649;1.2634656007534146;2.1745224350906174;1.251092418470198
1997;07;3792;3792;24.46451612903226;18.40776699029126;988.7519667013528;234.05702705250255;1.6368803626598425;1.168972890968785;1.896018898686986;1.0119671183856527
1998;07;3979;3979;24.714285714285715;19.129807692307693;1057.9680567879325;257.42064996301775;1.5931318419202978;1.1250745499524586;1.6986828437208805;0.843621143479615
1999;07;4195;4195;25.424242424242426;19.881516587677726;1099.9291092745636;274.3793266099145;1.5721952998218272;1.1478736159271188;1.601988971824242;0.8087037103318999
2000;07;4558;4558;24.37433155080214;20.43946188340807;1121.8170951414108;292.11180598845743;1.7132365652402326;1.1336394314042684;2.158179358777149;0.9766176244760119
2001;07;4686;4686;26.47457627118644;21.3;1235.2098056114144;286.98272727272735;1.6109471035904201;1.0202630523505642;1.7376542293382444;0.6713188508532806
2002;07;4897;4897;27.35754189944134;21.764444444444443;1317.8833369745014;309.1934024691358;1.612559813413517;0.9839482626092625;1.7396121112262373;0.545175376632371
2003;07;4959;4959;27.247252747252748;22.23766816143498;1328.7795254196355;317.8852178809146;1.6257576577398085;0.9596509399676947;1.8582238205070691;0.42388912910119814
2004;07;5167;5167;28.705555555555556;22.86283185840708;1443.0521913580246;323.51658313102047;1.6579217426329171;0.9229351737298724;2.0721544558183664;0.35891809428999055
2005;07;5261;5261;29.066298342541437;23.913636363636364;1416.8685327065718;334.3061776859504;1.636169184279103;0.9274728463807224;2.1663894966370316;0.4070745671388618
2006;07;5441;5441;29.09625668449198;24.182222222222222;1468.2901998913323;349.80235061728393;1.6523952709247463;0.8873733026507277;2.2054743448486667;0.18150821487248603
2007;07;4733;4733;27.678362573099417;21.129464285714285;1353.3760815293595;335.93413185586735;1.7517023656825614;1.0895297545722722;2.9585538611585296;0.5614848936978869
2008;07;5068;5068;30.347305389221557;22.524444444444445;1455.3524328588333;345.65384691358025;1.5967473549916236;0.8767933741746059;2.252444075896607;0.01714814259800823
2009;07;5137;5137;27.767567567567568;23.244343891402714;1441.4216508400293;315.0896173297025;1.7320895150542792;0.7754216934215945;2.620284839837117;-0.07907685770390493
2010;07;5269;5269;29.768361581920903;23.62780269058296;1508.0536882760382;325.4085543646564;1.5866648688043623;0.7757379438109242;1.9278779083934374;-0.12284971259890431
2011;07;5315;5315;28.88586956521739;23.727678571428573;1478.9054525047259;340.43030532525506;1.6391318362068066;0.8439122552326068;2.1514812032521053;0.1561473239925113
2012;07;5471;5471;30.394444444444446;24.424107142857142;1590.616635802469;343.3513831313776;1.5687402743218164;0.748887819316365;1.8336233243591975;-0.21396140106616546
2013;07;5545;5545;30.467032967032967;24.32017543859649;1619.1610010868255;341.4895929516774;1.5477429532791118;0.7232456164230706;1.6881644419195094;-0.23013116877486128
2014;07;5620;5620;29.42408376963351;24.977777777777778;1653.4798388202075;332.483950617284;1.628519095181142;0.7358008709480972;1.922938460957866;-0.04418298987882885
2015;07;5679;5679;31.375690607734807;25.01762114537445;1701.4389670644973;346.12303751285685;1.5366520442322358;0.7621141327498886;1.6180920825356218;-0.11518504022573817
2016;07;5723;5723;30.121052631578948;25.211453744493394;1695.9800831024927;352.2636573579926;1.619633391033667;0.8254319076205099;1.9137730128752972;0.20693275672778766
2017;07;5866;5866;31.537634408602152;25.841409691629956;1733.0550352641924;363.44621475285754;1.5728904001480555;0.7904877144907493;1.7724647538033969;0.06328042967026848
2018;07;5851;5851;30.794736842105262;25.662280701754387;1709.4578670360108;364.5569983071714;1.566517902157707;0.745713850871648;1.7123762853538755;-0.1537883205348911
2019;07;5899;5899;31.71505376344086;26.101769911504423;1779.9886981153888;367.4099968674132;1.5294969898865047;0.7641447462227053;1.500274720268271;-0.013947640262100158
2020;07;5618;5618;32.10285714285714;24.748898678414097;1760.0122775510206;342.31139746550485;1.5336193290162174;0.7633707063056284;1.5921690936636947;-0.11286806184945108
2021;07;5525;5525;31.03932584269663;24.446902654867255;1655.9478916803432;356.92859660114334;1.5476785521157668;0.8953225963169869;1.699732353365107;0.4071573445405172
2022;07;5610;5610;30.65573770491803;24.82300884955752;1620.1383140732776;377.32265643355;1.6032408578182982;0.8970653579663909;1.922585225629053;0.3560145769721039
2023;07;5621;5621;30.54891304347826;24.653508771929825;1624.2802162098299;372.4720490920284;1.6172200701822579;0.8453665427122353;2.069703371145759;0.04741745487187732
