period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2022;01;199;60;92;47;94704263924.2605;15720470067.298979;55311622255.53154;9942843515.771994;2796737162.889999;462647281.57750016;36595904505.838974;5314979269.949498;3342145714.7889986;498467209.9140001;62353942215.62656;11768584737.028505;29008175993.845;3453418120.3564973
2023;01;210;58;99;53;78408249273.83589;12383074027.366459;41038357682.05605;7112680590.03;931099862.7050002;179480630.255;36438791729.07501;5090912807.081504;1813983214.3140006;283792777.8485001;46320462523.81602;8208390848.999007;30273803535.706;3890890400.518998
1996;05;209;58;115;36;65230108835.0;24268158007.0;54976972931.0;19105282081.0;993177882.5;520861868.0;9259958021.5;4642014058.0;2950722159.5;1007360397.5;26747085012.5;12059210312.0;35532301663.0;11201587297.5
1997;05;209;59;110;40;69192119482.5;25906046270.5;58121014394.5;20410817083.0;1065876668.5;499479765.5;10005228419.5;4995749422.0;3400808416.5;1184486590.5;29153087389.0;12500024574.0;36638223677.0;12221535106.0
1998;05;210;56;117;37;68702633898.0;22702958271.5;54640326544.0;16799891649.0;970621377.0;507833132.5;13091685977.0;5395233490.0;2434648065.5;871286267.5;27082254440.0;10040840260.5;39185731392.5;11790831743.5
1999;05;211;57;109;45;119905669957.5;24193215883.0;61045352107.0;18761374850.5;1103210369.0;524462022.0;57757107481.5;4907379010.5;5053834492.0;1227418679.5;37024465096.5;9881701705.5;77827370369.0;13084095498.0
2000;05;223;61;123;39;38848959882.54899;24499822915.70496;27758925388.510002;17980767534.619503;877699379.9735;584771851.7975;10212335114.0655;5934283529.288007;1693817936.7740002;1095845645.7660003;24010854784.81251;10998233474.173012;13144287160.962502;12405743795.766
2001;05;224;62;120;42;38101699708.96801;22536908852.7465;26631092490.584503;16651500175.283998;1147095887.7780004;763841746.449;10323511330.605497;5121566931.013501;1436937495.7929997;942613305.2395005;24816196438.702503;10866089447.031496;11848565774.4725;10728206100.475489
2002;05;225;62;118;45;41239069957.960495;23529131860.429985;31033393470.407;17966160099.451996;1127742139.1310003;783261528.6725006;9077934348.4225;4779710232.305492;2321876944.6390004;1207299047.2245;26395300683.648003;11376451744.040993;12521892329.6735;10945381069.164507
2003;05;224;60;120;44;43135041775.33198;25232209636.810513;33651322716.890984;19246021601.736015;1016260247.6154999;845886243.3630004;8467458810.8255;5140301791.711496;2700566709.151999;1489944926.9924994;28138089943.820477;13062588773.159492;12296385122.359495;10679675936.658508
2004;05;225;58;125;42;49707000401.54202;30655252116.073425;35319806957.9985;23442957185.49594;5186309028.721998;3022025782.327499;9200884414.821503;4190269148.25;2602752695.2165;1683186106.2249987;35948708113.48547;23973423405.648457;11155539592.839996;4998642604.199997
