period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;net_wgt_exp;net_wgt_imp;exp_share;imp_share;primary_value_per_partner_exp;primary_value_per_partner_imp;net_wgt_per_partner_exp;net_wgt_per_partner_imp
1996;01;Sierra Leone;1;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Singapore;17;21;2825704.0;5072213.0;3057022.0;6220278.0;0.35777838637706627;0.6422216136229337;166217.88235294117;241533.95238095237;179824.82352941178;296203.71428571426
1996;01;Solomon Isds;8;0;0.0;0.0;0.0;0.0;;;0.0;;0.0;
1996;01;Somalia;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Sri Lanka;3;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Sudan (...2011);0;1;0.0;1869115.0;0.0;5761089.0;0.0;1.0;;1869115.0;;5761089.0
1996;01;Suriname;15;1;3217289.0;0.0;11808923.0;0.0;1.0;0.0;214485.93333333332;0.0;787261.5333333333;0.0
1996;01;Switzerland;16;14;95477050.0;37317878.0;710588975.0;209597272.0;0.7189811496414984;0.28101885035850166;5967315.625;2665562.714285714;44411810.9375;14971233.714285715
1996;01;Syria;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Tajikistan;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Thailand;9;24;26231.0;101149249.0;7500.0;378156197.0;0.0002592624220809232;0.999740737577919;2914.5555555555557;4214552.041666667;833.3333333333334;15756508.208333334
1996;01;Togo;2;1;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0
1996;01;Tonga;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Trinidad and Tobago;6;5;31748.0;1122499.0;21940.0;3935260.0;0.027505377965028284;0.9724946220349717;5291.333333333333;224499.8;3656.6666666666665;787052.0
1996;01;Tunisia;0;8;0.0;6444487.0;0.0;24004242.0;0.0;1.0;;805560.875;;3000530.25
1996;01;Turkmenistan;0;2;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Turks and Caicos Isds;0;1;0.0;0.0;0.0;0.0;;;;0.0;;0.0
1996;01;Türkiye;11;25;465858.0;124041186.0;1695104.0;683582310.0;0.0037416196307736614;0.9962583803692263;42350.72727272727;4961647.44;154100.36363636365;27343292.4
