period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2011;05;primary_value;22118221460.934;24451655326.976;0.14849336714495973;0.11323784306066895;2.4181200526822972;2.821533124065844
2012;05;primary_value;22768812889.627;24821122400.187;0.15314939992199972;0.1078981171200255;2.397124516977739;2.8724295584127724
2013;05;primary_value;26480822697.301;27966766336.433;0.15962673275505312;0.12240535478096574;2.3612400771948674;2.78071600057659
2014;05;primary_value;28408229167.395;31103972312.976;0.15577209839509937;0.12753502228036168;2.394434826192125;2.75914060624023
2015;05;primary_value;18511707801.284;28365419841.907;0.13708535035583663;0.13238818401152908;2.5937276837805454;2.7273331738916746
2016;05;primary_value;19141877445.831;29197899136.903;0.13433274328577244;0.15193619361861474;2.5706591844424325;2.608960882554795
2017;05;primary_value;19774688433.09;22208102564.141;0.14674181912637851;0.23891757633324323;2.484615714659655;2.3023373310349404
2018;05;primary_value;29106484563.518;24931463232.963;0.1568488520893484;0.19823319675931175;2.3688406326935563;2.506958401776423
2019;05;primary_value;26533899890.788002;28165936202.52;0.14504620590834952;0.16273714273780773;2.434785587429171;2.53111490386937
2020;05;primary_value;27812567035.842;28321815763.93;0.15647794057297942;0.18142318860793952;2.3885064920017522;2.3982880389029653
2021;05;primary_value;40598179826.146996;40398671898.514;0.18445802462815042;0.18430662504442458;2.240952471080712;2.413906289857904
2022;05;primary_value;31208760958.549004;38614865941.201996;0.21373008273827238;0.16989578472616698;2.141984897725158;2.502596526696202
2023;05;primary_value;22489633192.246998;26728987137.339;0.17604422958982177;0.1687704516188905;2.322784105757973;2.536952568671685
1996;07;primary_value;10497237629.0;10091372718.0;0.18500293068514304;0.1568572284931905;2.1968703802951044;2.386557536535348
1997;07;primary_value;10516828473.0;10392492318.0;0.16929446862479747;0.1562980148428044;2.2625150224989867;2.4139666652160137
1998;07;primary_value;8580968145.0;8900145215.0;0.14192833707265623;0.1501713017105988;2.3842707743220712;2.522177435224898
1999;07;primary_value;10021131716.0;10401426645.0;0.15003167974026313;0.17590993158546384;2.3603235763820987;2.382600761115886
2000;07;primary_value;9831908103.466;10655974714.0;0.14045250656494568;0.14952536314517803;2.4112422101361117;2.550340697465565
2001;07;primary_value;9383739911.411;10110259510.982;0.13462262062390062;0.14494048432194676;2.440982287803482;2.628077402699265
2002;07;primary_value;10424711334.015;11340743032.655;0.12744727308597859;0.15231108995573076;2.4714569009613623;2.601465967304117
2003;07;primary_value;12230949558.324;13552672052.776001;0.1339770100623406;0.16893540735054285;2.4615280148389624;2.5781254976986596
2004;07;primary_value;16237589507.469;17801259300.161;0.13094901816054424;0.19606086385542013;2.4779130157264366;2.5029759268425966
2005;07;primary_value;17470627877.341;18250562846.178;0.11946637746826341;0.1916891208571595;2.5412884210717146;2.5710871862600064
2006;07;primary_value;18713787225.642;19241055270.226;0.11866398324817544;0.15953333921348872;2.5115508544484317;2.717088314144137
2007;07;primary_value;15313439634.324;16755458591.859;0.17325684929033353;0.15738707424514223;2.175392403776057;2.4360493992279553
2008;07;primary_value;15387730916.525;17524098346.184;0.16365068510898517;0.10149868302801823;2.3188264193502577;2.94240782204873
2009;07;primary_value;13267121937.439;12721221373.016;0.13997058397279052;0.09154541972567572;2.4246300461415387;3.126606996189811
2010;07;primary_value;17519654003.375;16128689215.72;0.12986058607949091;0.08752715828098523;2.4822282493659604;3.156982912880344
2011;07;primary_value;20225191077.523;18901991036.788;0.13944857648248307;0.07787438440388747;2.4620255919220435;3.241332727430825
2012;07;primary_value;21883857643.553;20417316956.04;0.14001197187835152;0.07379159530406476;2.4953722856267038;3.3024640003977086
2013;07;primary_value;23129207782.115;21707156074.176;0.13747259584861352;0.07740995021645153;2.48753181231895;3.3115220299226027
2014;07;primary_value;24412450851.893;22521064918.514;0.14423038152818446;0.07782317728516691;2.4660553820690434;3.3191409158983673
2015;07;primary_value;20818500386.102;21196413983.328;0.16072563044167404;0.08861942594251306;2.4156834353105783;3.2633165911013986
2016;07;primary_value;20330100840.099;21055018394.02;0.15322591873261704;0.09815147022011901;2.4544216406239507;3.2172002015551713
2017;07;primary_value;23272913235.564;20532376027.121;0.12284032333887836;0.08180310060250637;2.6020296749224423;3.346395420546024
2018;07;primary_value;26000854866.66;24110602383.948;0.11672947298684203;0.09203140199863577;2.619639082602047;3.251440835574214
2019;07;primary_value;22431111031.948;22010189870.786;0.11053911267938095;0.08913083909127184;2.6754059984795613;3.30487604141114
2020;07;primary_value;22557529994.568;21679078052.256;0.10825138427669093;0.10941787960903458;2.667605172700842;3.163082206362499
2021;07;primary_value;33370076672.85;32135446259.896;0.11077688677057361;0.13275360990221516;2.630064471787755;3.041700661340543
2022;07;primary_value;29441201621.47;33154586297.089;0.11958074420773337;0.13651799671951875;2.5907104246437593;2.9936453729211414
2023;07;primary_value;24148918604.233997;23998253089.804;0.12178787693115167;0.09968613144669333;2.598062072354692;3.2415420309208334
1996;01;net_wgt;36700411075.0;44967121110.0;0.22114936644829783;0.2123891163300328;1.937634579267815;1.9908432380985737
1997;01;net_wgt;42347397369.0;46781725204.0;0.19525759121654035;0.2015635662895309;2.0683529331008903;2.0048180597167358
1998;01;net_wgt;41806283815.0;42835318122.0;0.21970179651490382;0.21272310450575782;2.0162132780946127;2.003106127351691
1999;01;net_wgt;50394850977.0;52616274142.0;0.25784557200524627;0.18917672233745295;1.8607013746445629;2.0608210518041146
2000;01;net_wgt;43118260562.0;30836237042.809002;0.3767483747043297;0.4409485265887549;1.5333949613024516;1.2538170127160815
2001;01;net_wgt;44331445518.867;30437382271.726;0.39188459120795477;0.46712889473122526;1.4907428757936156;1.1916816847265344
2002;01;net_wgt;49001770848.9;30490531421.872;0.4267982475535204;0.44562101462936576;1.3911231814645122;1.2442074271029626
2003;01;net_wgt;49486286557.557;28939446190.363;0.43115103353507656;0.4432286298623992;1.3966742007728004;1.228092628430134
2004;01;net_wgt;51408058100.105;30345103959.878998;0.4691546695541763;0.4598300396911409;1.365112105543565;1.192075830303245
2005;01;net_wgt;56964015062.363;42144836109.49;0.5040469151332175;0.3328019991057009;1.2672145952660507;1.4929396055727349
2006;01;net_wgt;60469075839.159;30706719978.850002;0.4920394442724448;0.47144362467688355;1.3136052832779577;1.1892204779710729
2007;01;net_wgt;77090191150.14;31546619134.899;0.3055186402217669;0.3715728005365699;1.8579913626259867;1.549226744617808
2008;01;net_wgt;59385602898.655;54484127562.553;0.2733471780795242;0.23036785269387416;1.8840285725352992;1.8569389142904185
2009;01;net_wgt;44930966597.485;14626193068.141;0.19837136492366492;0.2867243234218261;2.0628884160954755;1.7267205482044155
2010;01;net_wgt;57075314866.22;47689759272.0;0.1665994605445464;0.4603494745424825;2.1978937799265927;1.2260124544190931
2011;01;net_wgt;66428169715.974;69621214960.981;0.16401477921377952;0.3370561654365365;2.2008549002914566;1.6590686321456287
2012;01;net_wgt;77694496824.776;56119108125.441;0.14863209050191506;0.40326200448972155;2.2077661168274925;1.4660077974088488
2013;01;net_wgt;87479927879.517;68585098236.547;0.1502610661330044;0.40268666574138523;2.281548610071023;1.3947979650051783
2014;01;net_wgt;75552582820.73601;72170246050.89;0.1637169873246099;0.4589513099984228;2.3111916145117415;1.229311562237997
2015;01;net_wgt;67125948914.268;65712016239.189;0.1438188023766436;0.40770573045036784;2.3821512387135835;1.3479798873805902
2016;01;net_wgt;79230842686.592;74070723326.55301;0.14968716210205785;0.40875678746179245;2.2713881019206412;1.3770534140952702
2017;01;net_wgt;67158315343.464;69364132076.432;0.19102969016755308;0.4988918313132477;2.218513724134489;1.129216460988085
